,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
0,11001,4.0623565,0.6342150738505203,0.162,56147.0,0.069,0.037000000000000005,0.6509999999999999,0.21299999999999997,0.5986079755192005,30.8,0.121,0.5269,0.32,3.4961556129835656,1.5954843266542642
1,34001,2.6763651,0.436049679637737,0.133,33284.0,0.084,0.081,0.59,0.466,0.19211814765251256,24.9,0.175,0.4716,0.409,3.7624265504929353,1.8284719773909215
2,34003,3.6025546,0.4343866550586313,0.067,51214.0,0.04,0.075,0.634,0.275,0.2680756182797417,33.1,0.17,0.4759,0.297,3.6276729347036487,1.6174394328785382
3,34005,2.7459948,0.3257086573540168,0.061,43187.0,0.057,0.043,0.615,0.317,0.13042060062824234,30.0,0.166,0.4336,0.423,3.700021989352132,1.6826326368334366
4,34007,3.3594751,0.4332988645019714,0.122,35958.0,0.066,0.065,0.618,0.36099999999999993,0.1978752962327368,28.9,0.154,0.4712,0.392,3.748963497266631,1.867229585802556
5,34009,2.5634627,0.14731538577229664,0.098,40389.0,0.068,0.06,0.531,0.414,0.1591158638468516,22.8,0.258,0.4727,0.435,3.686036321061267,1.8928801423336301
6,34011,2.4904482,0.5359037826023989,0.165,25694.0,0.073,0.094,0.515,0.5369999999999999,0.17002418740267056,23.6,0.149,0.4677,0.474,3.726765688356974,1.8915886722418092
7,34013,3.8018713,0.6945388758417106,0.158,38722.0,0.081,0.114,0.604,0.39899999999999997,0.35187714880045873,34.9,0.134,0.5551,0.406,3.687349304998161,1.692951732995479
8,34015,2.9570165,0.21496058935655038,0.07400000000000001,39337.0,0.055,0.043,0.636,0.337,0.1166005340691012,30.7,0.154,0.4174,0.44799999999999995,3.746864386507867,1.9381357898330829
9,34017,4.16304,0.7121391665646837,0.152,40740.0,0.052000000000000005,0.129,0.655,0.376,0.5973886333106118,36.4,0.11699999999999999,0.5038,0.299,3.720038675283288,1.6373501340706011
10,34019,2.4634469,0.14468487378127426,0.045,57098.0,0.038,0.026000000000000002,0.644,0.267,0.11791889824024482,35.0,0.179,0.4346,0.34600000000000003,3.509425214508099,1.1663940338571734
11,34021,3.2140737,0.502932686819489,0.11599999999999999,43086.0,0.061,0.077,0.604,0.34,0.2424495500409054,28.3,0.149,0.5025,0.384,3.599465921338796,1.6618743037223136
12,34023,3.4262254,0.569385654784967,0.085,39599.0,0.052000000000000005,0.068,0.611,0.327,0.23391052523460942,34.4,0.147,0.432,0.363,3.676114824687981,1.6986747322577525
13,34025,3.1211321,0.2475746349686886,0.069,51700.0,0.049,0.057,0.629,0.303,0.19161289496594458,35.0,0.171,0.4764,0.369,3.721913035009496,1.7070228097080133
14,34027,3.0281658,0.2861491875414235,0.048,58109.0,0.043,0.047,0.65,0.25,0.14562576344740652,31.5,0.16699999999999998,0.459,0.31,3.6239515082138096,1.6024581478664797
15,34029,2.9851286,0.15332277021872354,0.10099999999999999,36100.0,0.051,0.055999999999999994,0.555,0.368,0.12228255519548281,31.2,0.22399999999999998,0.4487,0.382,3.7386275480848385,1.9377233222684156
16,34031,3.4310136,0.5869942041589478,0.157,32064.0,0.045,0.125,0.614,0.45099999999999996,0.252145294570272,28.3,0.14300000000000002,0.4701,0.395,3.775437724931165,1.793626851937223
17,34033,2.2741232,0.25746943959358626,0.124,34047.0,0.06,0.053,0.573,0.44799999999999995,0.12220949206679865,26.4,0.183,0.4536,0.461,3.6814071001925277,1.8641117513053171
18,34035,3.037294,0.43706607486099236,0.051,55828.0,0.046,0.053,0.653,0.25299999999999995,0.15310370709167453,32.5,0.153,0.4565,0.33899999999999997,3.5830993822916533,1.6904968984668538
19,34037,2.4326785,0.13713308312659467,0.049,44728.0,0.051,0.039,0.647,0.364,0.0986655501229099,37.8,0.16699999999999998,0.4098,0.33899999999999997,3.5773248098571906,1.4997914708691746
20,34039,3.7334902,0.6049765988668545,0.095,41603.0,0.057,0.113,0.643,0.395,0.27895505364939377,31.7,0.142,0.4945,0.361,3.7318317704961923,1.6948804835510307
21,34041,2.4701886,0.18324800211596226,0.076,39802.0,0.059000000000000004,0.057,0.632,0.38799999999999996,0.1382393779505693,36.0,0.17600000000000002,0.4185,0.371,3.5789040164397345,1.2798799606643256
22,44001,3.3029552,0.08575998687556396,0.075,46566.0,0.033,0.022000000000000002,0.616,0.301,0.13187933143090091,25.8,0.19399999999999998,0.4932,0.319,3.786981175172028,2.1171160344880113
23,44003,2.9888487,0.11667856641585661,0.076,39869.0,0.04,0.034,0.648,0.353,0.10996816066617687,25.9,0.184,0.4404,0.40399999999999997,3.805061475704473,1.8869644989716916
24,44005,2.903789,0.14232919892271834,0.087,47594.0,0.043,0.038,0.586,0.3390000000000001,0.1636788956827867,22.5,0.217,0.4805,0.349,3.592773730039559,0.7688729862152552
25,44007,3.193215,0.3920850917911023,0.152,31522.0,0.059000000000000004,0.054000000000000006,0.603,0.41200000000000003,0.1800400103463744,25.0,0.15,0.4726,0.39799999999999996,3.9257994012727706,2.034268700383275
26,44009,2.5813465,0.09082183087418694,0.086,42869.0,0.061,0.026000000000000002,0.603,0.341,0.11713867418100532,26.9,0.19899999999999998,0.4398,0.35700000000000004,3.5964188222777547,1.7021900430132055
27,25001,2.732623,0.10727601453891411,0.064,44505.0,0.040999999999999995,0.033,0.57,0.39399999999999996,0.12899558775360787,23.9,0.298,0.4542,0.379,3.4193733332567797,1.8212598202586912
28,25003,2.1296933,0.11894008305319359,0.109,35616.0,0.048,0.03,0.594,0.406,0.1766093804801837,19.8,0.226,0.4621,0.384,3.418528975572838,2.0376193204700246
29,25005,3.009405,0.1872282933211179,0.113,35747.0,0.054000000000000006,0.027999999999999997,0.62,0.408,0.1478063848750264,28.8,0.166,0.4579,0.406,3.796894180033784,2.031439837536865
30,25009,3.204676,0.29706281677632085,0.10400000000000001,42347.0,0.049,0.03,0.642,0.369,0.20047773800787738,30.4,0.16699999999999998,0.4816,0.385,3.834371285719728,1.9577507845728817
31,25011,2.0016127,0.09301897218640631,0.09699999999999999,35908.0,0.049,0.021,0.614,0.387,0.16087368890872578,24.9,0.21100000000000002,0.4541,0.39,3.2321353383681966,1.7184740003971586
32,25013,2.878447,0.37257064447251487,0.16399999999999998,30346.0,0.057999999999999996,0.031,0.575,0.43,0.14133480018086975,22.9,0.165,0.4731,0.413,3.7348626629489186,1.982219430891644
33,25015,2.4843621,0.16298623875999796,0.122,34838.0,0.055,0.022000000000000002,0.599,0.332,0.20825394498998484,23.6,0.166,0.4532,0.32,3.388424049709008,1.7831196869813255
34,25017,3.2946095,0.28145188594502146,0.07400000000000001,52228.0,0.038,0.025,0.6729999999999999,0.256,0.271055855715696,31.4,0.15,0.4638,0.292,3.623933695586561,1.7983756620981257
35,25021,3.2514684,0.25090050925350893,0.063,53889.0,0.042,0.018000000000000002,0.659,0.26,0.2697734712086327,35.0,0.166,0.4766,0.32899999999999996,3.5576176611645765,1.7812155976689128
36,25023,2.898397,0.19350362796257736,0.07400000000000001,43412.0,0.05,0.022000000000000002,0.64,0.37300000000000005,0.1590354172000199,33.8,0.17600000000000002,0.4539,0.39299999999999996,3.63243099663908,1.8852840545765437
37,25025,4.1399207,0.5512794923456419,0.182,42765.0,0.064,0.038,0.6509999999999999,0.332,0.5641867401733316,31.3,0.11800000000000001,0.5327,0.29,3.7453934672255826,1.7470783194628354
38,25027,2.7402408,0.23616708617654336,0.10099999999999999,37574.0,0.05,0.025,0.628,0.37,0.14519772782734963,29.7,0.153,0.4551,0.39299999999999996,3.6826816003456337,1.947064809984667
39,9001,3.1788068,0.38255859039797613,0.08900000000000001,57263.0,0.066,0.084,0.632,0.32899999999999996,0.217577083475764,31.3,0.155,0.5422,0.317,3.7132337292016824,1.68089001461412
40,9003,3.0839634,0.38936233788180097,0.10800000000000001,40540.0,0.057999999999999996,0.040999999999999995,0.619,0.342,0.14309123657588607,23.5,0.168,0.4716,0.374,3.6963802319750356,1.8300291662261738
41,9005,2.2920449,0.11577894748409356,0.069,44480.0,0.05,0.039,0.636,0.377,0.11172902452613986,28.7,0.20600000000000002,0.4566,0.332,3.6110269733711653,1.7805669798201815
42,9007,2.643298,0.1609660662483977,0.069,46023.0,0.046,0.032,0.6409999999999999,0.321,0.12144833948339484,26.5,0.19699999999999998,0.4462,0.336,3.6196255948750604,1.8130818040730237
43,9009,3.1504366,0.3710905840494546,0.11699999999999999,38009.0,0.064,0.05,0.61,0.361,0.17025863088899928,25.5,0.17,0.4691,0.395,3.7103996796140173,1.8567128396347066
