,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
65,24039,1.9037025,0.4846282405068211,0.217,18772.0,0.08199999999999999,0.057999999999999996,0.409,0.51,0.18726114649681525,24.4,0.162,0.4665,0.485,2.6137362072790262,1.1041944223697833
66,24041,2.1412833,0.22172895310355956,0.087,49136.0,0.034,0.043,0.569,0.34299999999999997,0.151485769691439,28.1,0.285,0.5161,0.41600000000000004,2.746428652191267,1.0703402129949493
67,24043,2.5184731,0.21074685728370712,0.122,30464.0,0.055,0.057,0.5660000000000001,0.44599999999999995,0.14204831777086113,30.1,0.168,0.4445,0.48700000000000004,2.690413360645013,1.3053313280601533
68,24045,2.4420378,0.3702396161460517,0.154,28080.0,0.076,0.066,0.5920000000000001,0.446,0.1369820463440392,21.9,0.155,0.4383,0.462,3.049448237634912,1.6184353250134484
69,24047,2.0476837,0.1984159180913745,0.09,38080.0,0.049,0.049,0.55,0.4040000000000001,0.1374216086535629,24.8,0.273,0.4719,0.45899999999999996,2.8125665433490648,1.5494033503042113
70,24510,3.8652143,0.7250883369018377,0.212,31271.0,0.083,0.066,0.5670000000000001,0.368,0.35351576658209494,31.4,0.136,0.5145,0.444,3.17308478695043,1.8016992396956188
71,10001,2.4892225,0.38407121715459625,0.135,28845.0,0.054000000000000006,0.071,0.569,0.455,0.13513981473465497,26.4,0.166,0.4279,0.501,3.0164863567278384,1.7714384177986668
72,10003,3.1174865,0.42559672039772367,0.114,37532.0,0.059000000000000004,0.049,0.614,0.34299999999999997,0.15842440298782057,26.2,0.152,0.4584,0.405,3.024337301679744,1.7190359447562416
73,10005,2.3982956,0.25039218482601255,0.113,35491.0,0.043,0.067,0.532,0.42200000000000004,0.09743962490146496,26.4,0.27,0.4505,0.45,3.342624254655735,1.9121776289182562
74,36001,2.7666602,0.2782895937035782,0.11900000000000001,37635.0,0.045,0.031,0.625,0.311,0.2076766730195716,20.9,0.165,0.46,0.36,2.8734966414030607,1.6085947391106028
75,36003,1.6510489,0.055967272104180954,0.16899999999999998,24857.0,0.049,0.066,0.521,0.48900000000000005,0.20946533640317222,22.0,0.184,0.44,0.45799999999999996,2.1781243378869894,0.501007331085858
76,36005,4.5279713,0.908617570735324,0.28,21778.0,0.1,0.086,0.539,0.5289999999999999,0.7349481764780603,45.4,0.125,0.5118,0.43700000000000006,3.54798697411254,2.5324935310436585
77,36007,2.4311745,0.16619562291653722,0.174,28699.0,0.062,0.042,0.54,0.397,0.16631446481147305,19.3,0.187,0.4652,0.433,2.6515418735056224,1.511857264055128
78,36009,1.7647816,0.09418965003047164,0.165,25822.0,0.055,0.069,0.544,0.4690000000000001,0.14061597397464354,22.1,0.187,0.4326,0.491,2.2700756258281847,0.948540192690245
79,36011,2.0442486,0.09908944139489828,0.121,30509.0,0.045,0.051,0.5710000000000001,0.449,0.13125545022363494,23.5,0.184,0.4351,0.45399999999999996,2.225707718544236,0.557721814386638
80,36013,2.0780616,0.12562258747354005,0.182,26165.0,0.061,0.054000000000000006,0.531,0.48900000000000005,0.15278869531835548,17.9,0.196,0.4519,0.465,2.168994071990234,0.8139826785683814
81,36015,2.3114872,0.1377230696743036,0.139,28778.0,0.055999999999999994,0.043,0.5429999999999999,0.43700000000000006,0.15606023473027808,19.9,0.184,0.4423,0.461,2.2599130698752905,0.5310280888888573
82,36017,1.7228669,0.05259972030307458,0.135,27708.0,0.06,0.043,0.5529999999999999,0.4690000000000001,0.16291390728476818,24.6,0.20199999999999999,0.4329,0.47200000000000003,2.570201597437802,1.1370368038921463
