,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate
0,4.0623565,0.6342150738505203,0.162,56147.0,0.069,0.037000000000000005,0.6509999999999999,0.21299999999999997,0.5986079755192005,30.8,0.121,0.5269,0.32,3.270805475667955
1,2.6763651,0.436049679637737,0.133,33284.0,0.084,0.081,0.59,0.466,0.19211814765251256,24.9,0.175,0.4716,0.409,3.1468635194495347
2,3.6025546,0.4343866550586313,0.067,51214.0,0.04,0.075,0.634,0.275,0.2680756182797417,33.1,0.17,0.4759,0.297,3.3625307573985785
3,2.7459948,0.3257086573540168,0.061,43187.0,0.057,0.043,0.615,0.317,0.13042060062824234,30.0,0.166,0.4336,0.423,3.1460282419259893
4,3.3594751,0.4332988645019714,0.122,35958.0,0.066,0.065,0.618,0.36099999999999993,0.1978752962327368,28.9,0.154,0.4712,0.392,3.2444968692919574
5,2.5634627,0.14731538577229664,0.098,40389.0,0.068,0.06,0.531,0.414,0.1591158638468516,22.8,0.258,0.4727,0.435,3.080536663704111
6,2.4904482,0.5359037826023989,0.165,25694.0,0.073,0.094,0.515,0.5369999999999999,0.17002418740267056,23.6,0.149,0.4677,0.474,3.3640419746149886
7,3.8018713,0.6945388758417106,0.158,38722.0,0.081,0.114,0.604,0.39899999999999997,0.35187714880045873,34.9,0.134,0.5551,0.406,3.4009218485924104
8,2.9570165,0.21496058935655038,0.07400000000000001,39337.0,0.055,0.043,0.636,0.337,0.1166005340691012,30.7,0.154,0.4174,0.44799999999999995,3.0740989275343105
9,4.16304,0.7121391665646837,0.152,40740.0,0.052000000000000005,0.129,0.655,0.376,0.5973886333106118,36.4,0.11699999999999999,0.5038,0.299,3.476733413032136
10,2.4634469,0.14468487378127426,0.045,57098.0,0.038,0.026000000000000002,0.644,0.267,0.11791889824024482,35.0,0.179,0.4346,0.34600000000000003,2.9809167687966367
11,3.2140737,0.502932686819489,0.11599999999999999,43086.0,0.061,0.077,0.604,0.34,0.2424495500409054,28.3,0.149,0.5025,0.384,3.34883379701722
12,3.4262254,0.569385654784967,0.085,39599.0,0.052000000000000005,0.068,0.611,0.327,0.23391052523460942,34.4,0.147,0.432,0.363,3.3444251512963894
13,3.1211321,0.2475746349686886,0.069,51700.0,0.049,0.057,0.629,0.303,0.19161289496594458,35.0,0.171,0.4764,0.369,3.2356065378403587
14,3.0281658,0.2861491875414235,0.048,58109.0,0.043,0.047,0.65,0.25,0.14562576344740652,31.5,0.16699999999999998,0.459,0.31,3.1818362944978573
15,2.9851286,0.15332277021872354,0.10099999999999999,36100.0,0.051,0.055999999999999994,0.555,0.368,0.12228255519548281,31.2,0.22399999999999998,0.4487,0.382,3.255857186616948
16,3.4310136,0.5869942041589478,0.157,32064.0,0.045,0.125,0.614,0.45099999999999996,0.252145294570272,28.3,0.14300000000000002,0.4701,0.395,3.5560207186729644
17,2.2741232,0.25746943959358626,0.124,34047.0,0.06,0.053,0.573,0.44799999999999995,0.12220949206679865,26.4,0.183,0.4536,0.461,3.1727596541098206
18,3.037294,0.43706607486099236,0.051,55828.0,0.046,0.053,0.653,0.25299999999999995,0.15310370709167453,32.5,0.153,0.4565,0.33899999999999997,3.2212983079735413
19,2.4326785,0.13713308312659467,0.049,44728.0,0.051,0.039,0.647,0.364,0.0986655501229099,37.8,0.16699999999999998,0.4098,0.33899999999999997,2.989209666589287
20,3.7334902,0.6049765988668545,0.095,41603.0,0.057,0.113,0.643,0.395,0.27895505364939377,31.7,0.142,0.4945,0.361,3.488962646461122
21,2.4701886,0.18324800211596226,0.076,39802.0,0.059000000000000004,0.057,0.632,0.38799999999999996,0.1382393779505693,36.0,0.17600000000000002,0.4185,0.371,3.117288607281348
22,3.3029552,0.08575998687556396,0.075,46566.0,0.033,0.022000000000000002,0.616,0.301,0.13187933143090091,25.8,0.19399999999999998,0.4932,0.319,2.822955583102187
23,2.9888487,0.11667856641585661,0.076,39869.0,0.04,0.034,0.648,0.353,0.10996816066617687,25.9,0.184,0.4404,0.40399999999999997,2.973492752387073
24,2.903789,0.14232919892271834,0.087,47594.0,0.043,0.038,0.586,0.3390000000000001,0.1636788956827867,22.5,0.217,0.4805,0.349,2.6940863942023703
25,3.193215,0.3920850917911023,0.152,31522.0,0.059000000000000004,0.054000000000000006,0.603,0.41200000000000003,0.1800400103463744,25.0,0.15,0.4726,0.39799999999999996,3.3890711852962645
26,2.5813465,0.09082183087418694,0.086,42869.0,0.061,0.026000000000000002,0.603,0.341,0.11713867418100532,26.9,0.19899999999999998,0.4398,0.35700000000000004,2.695058828717467
27,2.732623,0.10727601453891411,0.064,44505.0,0.040999999999999995,0.033,0.57,0.39399999999999996,0.12899558775360787,23.9,0.298,0.4542,0.379,2.8703335775422203
28,2.1296933,0.11894008305319359,0.109,35616.0,0.048,0.03,0.594,0.406,0.1766093804801837,19.8,0.226,0.4621,0.384,2.7069120076124213
29,3.009405,0.1872282933211179,0.113,35747.0,0.054000000000000006,0.027999999999999997,0.62,0.408,0.1478063848750264,28.8,0.166,0.4579,0.406,3.1953484893825093
30,3.204676,0.29706281677632085,0.10400000000000001,42347.0,0.049,0.03,0.642,0.369,0.20047773800787738,30.4,0.16699999999999998,0.4816,0.385,3.3431012183721145
31,2.0016127,0.09301897218640631,0.09699999999999999,35908.0,0.049,0.021,0.614,0.387,0.16087368890872578,24.9,0.21100000000000002,0.4541,0.39,2.729784331524835
32,2.878447,0.37257064447251487,0.16399999999999998,30346.0,0.057999999999999996,0.031,0.575,0.43,0.14133480018086975,22.9,0.165,0.4731,0.413,3.2056138630787574
33,2.4843621,0.16298623875999796,0.122,34838.0,0.055,0.022000000000000002,0.599,0.332,0.20825394498998484,23.6,0.166,0.4532,0.32,2.8348709473554137
34,3.2946095,0.28145188594502146,0.07400000000000001,52228.0,0.038,0.025,0.6729999999999999,0.256,0.271055855715696,31.4,0.15,0.4638,0.292,3.1821146014656794
35,3.2514684,0.25090050925350893,0.063,53889.0,0.042,0.018000000000000002,0.659,0.26,0.2697734712086327,35.0,0.166,0.4766,0.32899999999999996,3.118129548971892
36,2.898397,0.19350362796257736,0.07400000000000001,43412.0,0.05,0.022000000000000002,0.64,0.37300000000000005,0.1590354172000199,33.8,0.17600000000000002,0.4539,0.39299999999999996,3.2310258380820955
37,4.1399207,0.5512794923456419,0.182,42765.0,0.064,0.038,0.6509999999999999,0.332,0.5641867401733316,31.3,0.11800000000000001,0.5327,0.29,3.420474818137504
38,2.7402408,0.23616708617654336,0.10099999999999999,37574.0,0.05,0.025,0.628,0.37,0.14519772782734963,29.7,0.153,0.4551,0.39299999999999996,3.197977460734113
39,3.1788068,0.38255859039797613,0.08900000000000001,57263.0,0.066,0.084,0.632,0.32899999999999996,0.217577083475764,31.3,0.155,0.5422,0.317,3.2846768155025665
40,3.0839634,0.38936233788180097,0.10800000000000001,40540.0,0.057999999999999996,0.040999999999999995,0.619,0.342,0.14309123657588607,23.5,0.168,0.4716,0.374,3.159684563768597
41,2.2920449,0.11577894748409356,0.069,44480.0,0.05,0.039,0.636,0.377,0.11172902452613986,28.7,0.20600000000000002,0.4566,0.332,2.957124569275031
42,2.643298,0.1609660662483977,0.069,46023.0,0.046,0.032,0.6409999999999999,0.321,0.12144833948339484,26.5,0.19699999999999998,0.4462,0.336,2.9402657409376296
43,3.1504366,0.3710905840494546,0.11699999999999999,38009.0,0.064,0.05,0.61,0.361,0.17025863088899928,25.5,0.17,0.4691,0.395,3.19280980552184
44,2.6006687,0.2434421631325031,0.094,39426.0,0.059000000000000004,0.04,0.601,0.39899999999999997,0.14237886490784035,23.7,0.177,0.4425,0.389,2.7465762578177073
45,2.565017,0.15388281710279816,0.073,41371.0,0.049,0.026000000000000002,0.62,0.344,0.13103502168505232,26.3,0.153,0.4383,0.335,2.846109570137635
46,2.357319,0.17296638814062415,0.114,32732.0,0.055,0.040999999999999995,0.619,0.44299999999999995,0.11942466184885125,26.5,0.161,0.4217,0.42,2.811242282609329
47,2.2221653,0.13031002869340047,0.165,23607.0,0.07400000000000001,0.048,0.46799999999999997,0.47300000000000003,0.1445597156908497,21.8,0.198,0.439,0.469,2.6821491795088717
